content,offset,samples,alpha,beta,gamma,delta,theta
e06d3f8ffcde2c6120d991a63ecafa8ded88f5ee.webm,0,25,0.376194367,0.824518305,1.178046521,0.836661207,0.546341624
e06d3f8ffcde2c6120d991a63ecafa8ded88f5ee.webm,1000,23,0.779081798,0.686230815,0.959209827,0.857590124,0.91153946
e06d3f8ffcde2c6120d991a63ecafa8ded88f5ee.webm,2000,14,0.958028372,1.301036234,1.116545288,0.884311072,0.963477986
e06d3f8ffcde2c6120d991a63ecafa8ded88f5ee.webm,3000,21,0.438177525,0.773599366,0.306912494,0.612244624,0.661267312
e06d3f8ffcde2c6120d991a63ecafa8ded88f5ee.webm,4000,18,0.529889725,0.500059373,0.971029449,0.616094327,0.657972847
e06d3f8ffcde2c6120d991a63ecafa8ded88f5ee.webm,5000,18,1.06276751,0.84718501,0.934367985,0.725151965,0.838891893
e06d3f8ffcde2c6120d991a63ecafa8ded88f5ee.webm,6000,5,0.542963154,0.368796797,0.211369767,1.424070826,0.74475154
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,0,18,0.55261344,0.673698946,0.507261502,0.633463065,0.304860405
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,1000,22,0.580136612,0.918848373,0.422451533,0.662573279,0.518207871
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,2000,25,0.958113679,0.573077672,0.747428053,1.038588588,0.826200131
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,3000,21,0.650514355,0.764061691,0.656941789,0.269128069,0.611384366
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,4000,22,0.449083469,0.515242196,0.378082187,0.65086982,0.749292333
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,5000,20,0.466439045,0.628609102,0.305434752,0.292136007,0.259459071
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,6000,24,0.337189087,0.19571569,0.215695361,0.251114059,0.076245563
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,7000,22,0.605703484,0.390706262,0.284588414,0.50525022,0.551826015
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,8000,21,0.929688736,0.916570138,0.691457242,0.556147155,1.265688282
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,9000,21,0.365430794,0.037200156,0.038006449,0.222795325,0.30211975
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,10000,21,0.455925765,0.467212367,0.532904362,0.382463869,0.36634884
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,11000,23,0.392464744,0.413826368,0.543580998,0.315212669,0.360255159
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,12000,22,0.618754144,0.985100208,0.69748964,1.084812985,1.317612249
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,13000,23,0.738155665,0.580650412,1.102258245,0.862633959,0.90241229
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,14000,22,0.6498948,0.793940474,0.710181342,1.167584573,0.809747407
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,15000,22,0.693116046,0.875042338,0.93088408,0.852077657,0.630874265
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,16000,23,0.488005451,0.574697078,0.519409667,0.37492897,0.213385769
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,17000,22,0.159256459,0.250994012,0.278739787,0.241257008,0.478635659
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,18000,21,0.766004465,0.928349801,0.843881764,1.044505699,1.08584649
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,19000,23,0.305073604,0.288298524,0.606239319,0.345280481,0.26921252
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,20000,21,0.679146493,0.571605602,0.912964994,0.520113473,1.054889325
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,21000,21,0.410379983,0.517175399,0.354112793,0.340825867,0.453783978
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,22000,21,0.552206655,0.558571597,0.508047476,1.134789851,0.398944312
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,23000,22,0.886684878,0.829089451,1.085383102,0.612683588,0.635403474
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,24000,21,0.302977565,0.419703631,0.236466311,0.255295369,0.255158284
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,25000,24,0.78340415,0.707787741,0.669566941,0.671182952,0.670073282
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,26000,22,0.740475654,0.654510653,0.476072492,0.583917904,0.69341099
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,27000,22,1.100599147,1.010214648,0.636661068,0.519687413,0.848438326
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,28000,23,0.627125355,0.694622416,0.804853015,0.373158199,0.389282215
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,29000,20,0.233277347,0.31809008,0.281460358,0.09303637,0.060209659
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,30000,23,0.328062567,0.317488604,0.427636468,0.272313813,0.501675336
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,31000,24,0.368475819,0.580320439,0.598233722,0.149850229,0.533188788
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,32000,20,0.295840241,0.363549844,0.350607352,0.166393403,0.039972573
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,33000,21,0.398815709,0.262860241,0.160258352,0.24785789,0.164408805
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,34000,22,0.222889152,0.601150704,0.948102325,0.417340696,0.638960827
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,35000,20,0.187577482,0.175159282,0.271707911,0.227375772,0.071316038
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,36000,19,0.595093744,0.839508419,0.452036967,0.207860566,0.668277667
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,37000,22,0.58758398,0.56476381,0.813953152,0.35463472,0.214798371
